产品,受众,兴趣爱好,场景
亚马逊设备和配件,人,运动类,室内
精神文化,性别分,球类,家里
亚马逊探索,男人,跳绳,客厅
哲学,女人,马术,厨房
亚马逊启动板,两性人,击剑,卫生间
文学,年纪分,游泳,黑客联盟卧室
家电,婴儿(0-1),帆船,书房
艺术,婴幼儿(1-3),举重,阁楼
应用程序和游戏,儿童(4-6),拳击,车库
宗教,少年(7-13),散打,地下室
艺术、手工艺和缝纫,青少年(14-17),空手道,阳台
物质文化,成年人,跑步,公司
有声读物和原著,职业分,骑行,餐厅
制度文化,渔业,登山,超市
汽车,水利业,狩猎,咖啡厅
中国亚文化,采掘业,滑翔,酒吧
婴儿,食品、饮料制造业,娱乐类,服装店
美国亚文化,纺织业,听唱歌,工厂
美容与个人护理,缝纫业,看电影,学校
亚文化,家具制造业,绘画,车内
图书,造纸及纸制品业,乐器,地铁
cosplay,动物,写作,室外
相机和照片产品,狗,戏剧,花园
ACG,猫,舞蹈,游泳池
CD和黑胶唱片,猪,比赛,篮球场
嘻哈,鸡,魔术,足球场
手机及配件,鸭,烹饪,棒球场
街舞,鹅,冒险类,湖边
服装、鞋履和珠宝,鱼,空中,丛林
极限运动,鸟,陆地,公路
收藏货币,马,水上,步行街
摇滚,猴,游戏类,牧场
电脑及配件,象,运动游戏,渔场
御宅,蛇,纸牌游戏,海边
数字教育资源,龟,水上游戏,沙滩
二次元,蝴蝶,真人模拟游戏,公园
数字音乐,蜻蜓,酒会游戏,小岛上
网游,鸽子,团建游戏,
电子产品,鲸鱼,个人游戏,
弹幕,鲨鱼,智力游戏,
,蜥蜴,射击游戏,
,鳄鱼,竞速游戏,
,,动作游戏,
,,恋爱游戏,
,,冒险游戏,
,,文字游戏,
,,动作/冒险/模拟/角色扮演,
,,网游类,
,,英雄联盟,
,,QQ堂,
